"name","sport","height","weight","age","link","img","gender"
"Cammile Adams","swimming",68,143,24.9178082191781,"http://www.teamusa.org/usa-swimming/athletes/Cammile-Adams","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Swimming/Adams_Cammile_150x250.jpg","F"
"Carli Lloyd","soccer",67,140,34.0794520547945,"http://www.teamusa.org/us-soccer/athletes/Carli-Lloyd","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Soccer/LLoyd_Carli_150x250.jpg","F"
"Carlin Isles","rugby",68,165,26.7232876712329,"http://www.teamusa.org/usa-rugby/athletes/Carlin-Isles","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Rugby-Men/Rugby_Men_Isles_Carlin.jpg","M"
"Carmelo Anthony","basketball",80,230,32.2082191780822,"http://www.teamusa.org/usa-basketball/athletes/Carmelo-Anthony","http://www.teamusa.org/~/media/TeamUSA/Basketball/Headshots/anthony_carmelo_150x250_1.jpg","M"
"Carmen Farmer","rugby",73,180,35.6931506849315,"http://www.teamusa.org/usa-rugby/athletes/Carmen-Farmer","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicHopefuls/farmer_carmen_150x250.jpg","F"
"Casey Eichfeld","canoe kayak",70,170,26.7397260273973,"http://www.teamusa.org/usa-canoe-kayak/athletes/Casey-Eichfeld","http://www.teamusa.org/~/media/USA_Canoe_Kayak/Images/Headshots/casey-187.jpg","M"
"Casey Patterson","volleyball",78,195,36.3178082191781,"http://www.teamusa.org/usa-volleyball/athletes/Casey-Patterson","http://www.teamusa.org/~/media/USA_Volleyball/Images/Athlete-Head-Shots/Beach-Volleyball/Web-Casey-Patterson.jpg","M"
"Charles Conwell","boxing",69,165,18.7698630136986,"http://www.teamusa.org/usa-boxing/athletes/Charles-Conwell","http://www.teamusa.org/~/media/USA_Boxing/Images/Athlete-Photos/Olympic-poster-photos/Charles-website.jpg","M"
"Charlie Buckingham","sailing",74,180,27.5698630136986,"http://www.teamusa.org/us-sailing/athletes/Charlie-Buckingham","http://www.teamusa.org/~/media/TeamUSA/RioHeadshots/Buckingham_Charlie_150x250.jpg","M"
"Chaunte Lowe","track and field",69,132,32.586301369863,"http://www.teamusa.org/usa-track-and-field/athletes/Chaunte-Lowe","http://www.teamusa.org/~/media/USA_Paralympics/Headshots/aug-13/lowe.jpg","F"
"Chloe Dygert","cycling",69,147,19.6054794520548,"http://www.teamusa.org/usa-cycling/athletes/Chloe-Dygert","http://www.teamusa.org/~/media/TeamUSA/RioHeadshots/dygert_chloe_150x250.jpg","F"
"Chloe Woodruff ","cycling",62,113,29.0630136986301,"http://www.teamusa.org/usa-cycling/athletes/Chloe-Woodruff","http://www.teamusa.org/~/media/TeamUSA/Cycling/Woodruff_Chloe_150x250.jpg","M"
"Chris Benard","track and field",75,185,26.3424657534247,"http://www.teamusa.org/usa-track-and-field/athletes/Chris-Benard","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicHopefuls/Benard_Chris_150x250.jpg","M"
"Chris Brooks","gymnastics",68,165,29.6493150684932,"http://www.teamusa.org/usa-gymnastics/athletes/Chris-Brooks","http://www.teamusa.org/~/media/TeamUSA/Headshots/brooks_chris_150X250.jpg","M"
"Chris Wyles","rugby",72,210,32.9178082191781,"http://www.teamusa.org/usa-rugby/athletes/Chris-Wyles","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicHopefuls/wyles_chris_150x250.jpg","M"
"Christa Dietzen","volleyball",74,174,29.8356164383562,"http://www.teamusa.org/usa-volleyball/athletes/Christa-Harmotto","http://www.teamusa.org/~/media/USA_Volleyball/Images/WNT/2013-Head-Shots/USAVChristaHarmotto.jpg","F"
"Christen Press","soccer",66,135,27.6191780821918,"http://www.teamusa.org/us-soccer/athletes/Christen-Press","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Soccer/Press_Christen_150x250.jpg","F"
"Christian Taylor","track and field",74,180,26.1506849315068,"http://www.teamusa.org/usa-track-and-field/athletes/Christian-Taylor","http://www.teamusa.org/~/media/TeamUSA/TrackAndField/Taylor_Christian/Taylor_Christian_150x250.jpg","M"
"Christina Epps","track and field",69,145,25.1452054794521,"http://www.teamusa.org/usa-track-and-field/athletes/Christina-Epps","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Track-and-Field/Athletics_Epps_Christina.jpg","F"
"Cierra Runge","swimming",76,187,20.427397260274,"http://www.teamusa.org/usa-swimming/athletes/Cierra-Runge","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Swimming/Runge_Cierra_150x250.jpg","F"
"Claressa Shields","boxing",69,165,21.4027397260274,"http://www.teamusa.org/usa-boxing/athletes/Claressa-Shields","http://www.teamusa.org/~/media/USA_Boxing/Images/Athlete-Photos/Claressa-Shields/Claressa-website.jpg","F"
"Clark Montgomery","equestrian",72,155,35.2356164383562,"http://www.teamusa.org/us-equestrian/athletes/Clark-Montgomery","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicHopefuls/montgomery_clark_150x250.jpg","M"
"Clark Smith","swimming",81,198,21.3178082191781,"http://www.teamusa.org/usa-swimming/athletes/Clark-Smith","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Swimming/Smith_Clark_150x250.jpg","M"
"Clayton Murphy","track and field",71,150,21.4547945205479,"http://www.teamusa.org/usa-track-and-field/athletes/Clayton-Murphy","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Track-and-Field/Athletics_Murphy_Clayton.jpg","M"
"CoCo Vandeweghe","tennis",73,155,24.6821917808219,"http://www.teamusa.org/usa-tennis/athletes/CoCo-Vandeweghe","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicHopefuls/Vandeweghe_CoCo_150x250.jpg","F"
"Cody Miller","swimming",71,175,24.5890410958904,"http://www.teamusa.org/usa-swimming/athletes/Cody-Miller","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Swimming/Miller_Cody_150x250.jpg","M"
"Colton Brown","judo",72,200,24.8438356164384,"http://www.teamusa.org/usa-judo/athletes/Colton-Brown","http://www.teamusa.org/~/media/USA_Judo/Images/Athlete-Headshots/ColtonBrown1.jpg","M"
"Connor Fields","cycling",72,195,23.9068493150685,"http://www.teamusa.org/usa-cycling/athletes/Connor-Fields","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Cycling-Men/Cycling_BMX_Fields_Connor.jpg","M"
"Connor Jaeger","swimming",73,170,25.2849315068493,"http://www.teamusa.org/usa-swimming/athletes/Connor-Jaeger","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Swimming/Jaeger_connor_150x250.jpg","M"
"Conor Dwyer","swimming",77,195,27.586301369863,"http://www.teamusa.org/usa-swimming/athletes/Conor-Dwyer","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Swimming/Dwyer_Conor_150x250.jpg","M"
"Corey Cogdell-Unrein","shooting",68,155,29.9452054794521,"http://www.teamusa.org/usa-shooting/athletes/Corey-Cogdell","http://www.teamusa.org/~/media/TeamUSA/RioHeadshots/Cogdell_Unrein_Corey_150x250.jpg","F"
"Courtney Hurley","fencing",69,150,25.8657534246575,"http://www.teamusa.org/usa-fencing/athletes/Courtney-Hurley","http://www.teamusa.org/~/media/USA_Fencing/Images/Headshots/Courtney-Hurley-2.jpg","F"
"Courtney Mathewson","water polo",67,154,29.9123287671233,"http://www.teamusa.org/usa-water-polo/athletes/Courtney-Mathewson","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Water-Polo-Women/Water_Polo_Women_-Mathewson_Courtney.jpg","F"
"Courtney Thompson","volleyball",68,145,21.7671232876712,"http://www.teamusa.org/usa-volleyball/athletes/Courtney-Thompson","http://www.teamusa.org/~/media/USA_Volleyball/Images/WNT/2013-Head-Shots/USAVCourtneyThompson.jpg","F"
"Crystal Dunn","soccer",62,123,24.1068493150685,"http://www.teamusa.org/us-soccer/athletes/Crystal-Dunn","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Soccer/Dunn_Crystal_150x250.jpg","F"
"Cyrus Hostetler","track and field",74,210,30.013698630137,"http://www.teamusa.org/usa-track-and-field/athletes/Cyrus-Hostetler","http://www.teamusa.org/~/media/USA_Paralympics/Headshots/aug-17/hostetlerhead.jpg","M"
"D","sailing",73,157,38.5616438356164,"http://www.teamusa.org/us-sailing/athletes/David-Hughes","http://www.teamusa.org/~/media/TeamUSA/RioHeadshots/Hughes_David_150x250.jpg","M"
"Dagmara Wozniak","fencing",68,180,28.1150684931507,"http://www.teamusa.org/usa-fencing/athletes/Dagmara-Wozniak","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Fencing/Wozniak_dagmara.jpg","F"
"Dan Lowe","shooting",72,180,23.7287671232877,"http://www.teamusa.org/usa-shooting/athletes/Dan-Lowe","http://www.teamusa.org/~/media/TeamUSA/Shooting/Lowe_Dan/Lowe_Dan_headshot_150x250.jpg","M"
"Dana Vollmer","swimming",73,150,28.7479452054795,"http://www.teamusa.org/usa-swimming/athletes/Dana-Vollmer","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Swimming/Vollmer_Dana_150x250.jpg","F"
"Danell Leyva","gymnastics",67,150,24.7835616438356,"http://www.teamusa.org/usa-gymnastics/athletes/Danell-Leyva","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicHopefuls/leyva_danell_150x250.jpg","M"
"Daniel Dennis","wrestling",65,125,29.8849315068493,"http://www.teamusa.org/usa-wrestling/athletes/Daniel-Dennis","http://www.teamusa.org/~/media/USA_Wrestling/Athlete-Bios/DanielDennis150x250.jpg","M"
"Danny Barrett","rugby",74,225,26.3890410958904,"http://www.teamusa.org/usa-rugby/athletes/Danny-Barrett","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicHopefuls/barrett_danny_150x250_2.jpg","M"
"Darrell Hill","track and field",75,320,22.9835616438356,"http://www.teamusa.org/usa-track-and-field/athletes/Darrell-Hill","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Track-and-Field/Athletics_Hill_Darrell.jpg","M"
"Daryl Homer","fencing",68,165,26.0739726027397,"http://www.teamusa.org/usa-fencing/athletes/Daryl-Homer","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Fencing/Fencing_Homer_Daryl.jpg","M"
"David Higgins","shooting",69,150,22.1232876712329,"http://www.teamusa.org/usa-shooting/athletes/David-Higgins","http://www.teamusa.org/~/media/TeamUSA/RioHeadshots/higgins_david_150x250.jpg","M"
